,mean_inflow,med_inflow,max_inflow,std_inflow,pk_vol_inflow,mean_outflow,med_outflow,max_outflow,std_outflow,pk_vol_outflow,max_storage,train,val,test
398,7.4881673,2.115,116.051,11.711387,129216580.0,7.463317,1.181,87.516,10.710231,95471300.0,187.628,0.5497424842303026,0.5643703442853251,0.5472601905176554
399,6.8484955,2.346,66.228,8.439597,63905696.0,6.6942916,0.0,34.83,8.292074,37956500.0,46.212,0.8999668138195511,0.9035128136040436,0.7688806822063721
415,40.02119,25.117,269.123,37.193447,312588640.0,36.72677,22.002,251.198,33.663853,307324700.0,234.06,0.9455337882435152,0.9722720393700364,0.8638684043982601
416,42.024216,29.733,459.327,38.941673,377836500.0,39.693527,24.735,269.123,36.888264,314620640.0,1348.533,0.7670021943257211,0.8257484204764522,0.6650521556511166
421,38.865532,17.415,548.666,59.41457,665030300.0,37.26771,24.848,457.968,36.478024,351265630.0,1302.017,0.6535580020501808,0.5940311372288958,0.4183137188218161
423,43.929688,22.282501,537.904,55.80548,693340700.0,43.43114,30.582,396.435,44.693718,595875900.0,454.865,0.8327411824009147,0.7982429153934503,0.8723684569534267
449,7.9666457,5.785,89.877,9.06994,112259704.0,7.8766747,5.71,85.371,9.389903,92522856.0,93.701,0.760437132429113,0.8333520373556148,0.7936300400607432
451,58.35994,37.9105,532.309,64.22635,827747800.0,54.55927,42.758,348.297,40.43892,368581220.0,4827.386,0.4565527836014366,0.253445811157,0.3978103274333694
456,5.4178796,2.955,76.026,8.128297,96283740.0,5.408649,4.531,64.336,6.4707937,74800200.0,80.512,0.7959000596184009,0.737857773846384,0.2515579914960978
473,0.9937382,0.7,13.59,1.6381717,17840862.0,1.0010983,0.0,8.417,1.3940104,11539433.0,45.198,0.6339004583701962,0.7074652386726282,0.7082844137007893
488,5.6185017,4.549,65.356,4.9381733,57934292.0,5.416099,4.497,53.807,4.8283634,39104884.0,206.959,0.5520591363035483,0.4792087510709736,0.206616339966374
492,3.6534226,1.921,47.997,4.8817935,55342276.0,9.354837,9.642,77.769,6.916601,30015186.0,664.8,0.1979080437568832,0.0745840039846477,-0.0239218131080445
497,3.9805098,1.784,48.337,5.746256,74409944.0,3.935207,3.058,36.727,3.935273,39774050.0,120.375,0.4911567841834786,0.5366224150233891,0.4457220889698398
502,12.67065,6.173,121.111,16.17081,210267260.0,12.535368,9.6985,113.267,11.223651,123827680.0,189.433,0.720546758764856,0.6524931843629824,0.6269081533357346
505,1.594113,0.311,54.794,2.0663493,17807074.0,2.109632,1.727,47.495,1.9234022,19793296.0,14.099,0.3845442896366681,0.5487488849281328,0.4001142410708753
506,1.9688941,0.728,62.401,4.5779915,42494068.0,1.9204121,0.57,40.073,2.7504215,16945306.0,95.218,0.4226777687087643,0.3931874586177732,0.3563592731150476
509,8.584255,3.653,96.504,11.891565,153763280.0,6.1145277,2.917,55.558,8.779189,119203030.0,325.789,0.7106675743473483,0.6935970897064421,0.6540940520375451
511,5.9147286,2.124,110.322,10.840719,112411510.0,5.76204,2.01,94.861,10.966008,112846856.0,70.291,0.914632874758087,0.8879425419807648,0.9091212155586976
517,4.638932,2.142,68.361,6.346411,78053330.0,4.5530276,3.701,35.877,3.3835351,31251726.0,128.279,0.5094866071626833,0.4319975608537989,0.3425748265254166
522,6.131162,4.078,77.248,5.9544325,62769620.0,6.0929766,3.964,77.22,6.1992207,62245852.0,99.443,0.7260444740393384,0.6913764741276698,0.8071493926326916
529,0.758659,0.396,24.777,1.2010115,12438097.0,0.75457835,0.283,9.883,1.2289162,13651304.0,29.29,0.6714064124092881,0.720188506316604,0.6030927169517439
536,5.625188,2.8860002,68.719,7.0976176,91033280.0,5.6362123,3.6795,51.82,4.5327063,41245544.0,133.53,0.5811445172155927,0.6613242846999572,0.6441593912399881
541,36.873154,19.161999,455.441,44.43598,571929340.0,36.729355,34.5935,353.546,26.765005,210883790.0,1022.734,0.2166181611062645,0.1566461685533833,0.2276111152779105
542,39.73587,37.2755,356.477,28.784859,257058050.0,39.70508,36.719,352.114,28.250984,259779020.0,146.398,0.9072084107560016,0.9310517580481028,0.9311515273431494
55,9.6002,6.025,261.486,11.215555,92931416.0,9.565932,3.3635,67.111,10.534618,113133030.0,197.431,0.5312665417074982,0.6861944188894455,0.619794862485181
57,8.387693,5.482,216.651,9.500966,80879340.0,8.305988,1.472,58.984,11.33611,156098420.0,297.691,0.5586117591772354,0.5212971652156808,0.6311015012352428
572,0.44517055,0.114,120.974,1.2525787,3328686.0,0.4309112,0.0,121.761,1.1626502,463824.03,12.653,0.1649951413142227,0.7720549800503015,0.6010795774030074
574,2.6987443,0.929,41.118,4.443931,53481740.0,2.6829834,0.343,26.193,3.544799,31221578.0,49.542,0.7700668682970426,0.5435382569202367,0.6879569665867192
575,10.578453,4.811,283.113,14.697004,163995020.0,10.4550905,7.079,83.28,10.950676,99597190.0,154.971,0.8048616873977905,0.6248361300856999,0.7407446831863891
597,403.62555,258.5325,5417.116,416.0287,5348996000.0,394.8964,356.3205,2622.136,183.68141,1875700600.0,31694.516,0.2840161912010979,-0.517097240106049,-1.1748557017420445
60,7.96621,4.6155,153.661,8.966644,96786080.0,7.958977,5.607,70.396,6.748214,94203480.0,45.048,0.7789350928405206,0.8483556309589841,0.7601772035749408
601,35.69714,18.9345,322.612,41.74055,507886850.0,28.13346,17.103,153.477,29.25576,408489570.0,2073.037,0.4594862211320948,0.2659871693459935,-0.0588831217863754
