param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
549,1.0,50.0,20.0,0.3,103.8,0.00353478671653036
435,1.0,40.0,30.0,0.3,76.6,0.0035401757544604603
204,1.0,20.0,45.0,0.3,95.0,0.0035573957895393997
537,2.0,45.0,50.0,0.3,67.6,0.00355766175586414
595,2.0,50.0,45.0,0.5,102.8,0.0035611787466525804
258,1.0,25.0,35.0,0.3,116.6,0.00356455685008156
288,2.0,25.0,35.0,0.3,71.8,0.00356883088340202
378,1.0,35.0,35.0,0.3,88.4,0.00357392409641758
357,2.0,30.0,50.0,0.3,68.4,0.00357490219757886
546,1.0,50.0,15.0,0.3,105.8,0.00358023641747418
414,2.0,35.0,45.0,0.3,79.6,0.0035875713384787198
342,2.0,30.0,25.0,0.3,89.4,0.00359991234436162
405,2.0,35.0,30.0,0.3,85.0,0.00360983093123644
555,1.0,50.0,30.0,0.3,82.6,0.00361135286705874
438,1.0,40.0,35.0,0.3,107.6,0.00362085178494448
252,1.0,25.0,25.0,0.3,115.6,0.0036215530960665003
294,2.0,25.0,45.0,0.3,96.4,0.00362697557914842
465,2.0,40.0,30.0,0.3,74.8,0.00362808718588586
468,2.0,40.0,35.0,0.3,82.0,0.0036348107038065
309,1.0,30.0,20.0,0.3,94.8,0.0036352544431185797
456,2.0,40.0,15.0,0.3,88.2,0.0036362307432379003
519,2.0,45.0,20.0,0.3,75.8,0.0036363043938763004
198,1.0,20.0,35.0,0.3,91.8,0.00363851277506906
588,2.0,50.0,35.0,0.3,65.6,0.00364188271875412
225,2.0,20.0,30.0,0.3,94.4,0.0036478145242047205
477,2.0,40.0,50.0,0.3,56.8,0.00365101005979034
351,2.0,30.0,40.0,0.3,76.6,0.00365188850652578
448,1.0,40.0,50.0,0.5,86.6,0.00365220919096218
156,2.0,15.0,15.0,0.3,75.6,0.0036530937975232996
283,2.0,25.0,25.0,0.5,79.4,0.00365319882209098
261,1.0,25.0,40.0,0.3,110.2,0.0036559195170411405
390,2.0,35.0,5.0,0.3,88.0,0.0036602560830942196
339,2.0,30.0,20.0,0.3,78.4,0.0036604264760777597
523,2.0,45.0,25.0,0.5,88.2,0.0036620716142351196
306,1.0,30.0,15.0,0.3,82.0,0.00366240214692268
402,2.0,35.0,25.0,0.3,85.8,0.0036692393490132405
144,1.0,15.0,45.0,0.3,109.4,0.0036746473565775
237,2.0,20.0,50.0,0.3,63.4,0.0036768873066951404
369,1.0,35.0,20.0,0.3,83.2,0.00367860474216282
589,2.0,50.0,35.0,0.5,61.6,0.0036798728455323198
298,2.0,25.0,50.0,0.5,75.4,0.0036814178844603003
526,2.0,45.0,30.0,0.5,86.2,0.0036828171068918397
585,2.0,50.0,30.0,0.3,71.4,0.0036879229572756205
385,1.0,35.0,45.0,0.5,78.4,0.0036905916330093602
273,2.0,25.0,10.0,0.3,90.4,0.00369523840393712
538,2.0,45.0,50.0,0.5,60.6,0.00369956419259928
388,1.0,35.0,50.0,0.5,83.4,0.00370027668735318
201,1.0,20.0,40.0,0.3,102.2,0.0037007962925902404
415,2.0,35.0,45.0,0.5,73.2,0.00370130744995546
