param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
501,1.0,45.0,40.0,0.3,103.6,0.04733516424894328
138,1.0,15.0,35.0,0.3,98.8,0.04737959153329326
385,1.0,35.0,45.0,0.5,75.6,0.047390633386870176
243,1.0,25.0,10.0,0.3,97.2,0.0474452284785608
400,2.0,35.0,20.0,0.5,84.0,0.04747016634792084
303,1.0,30.0,10.0,0.3,95.2,0.04751336419334008
388,1.0,35.0,50.0,0.5,84.2,0.04751998819410798
598,2.0,50.0,50.0,0.5,61.4,0.0475281029939651
418,2.0,35.0,50.0,0.5,84.6,0.0475370203144848
129,1.0,15.0,20.0,0.3,114.2,0.0475811925406257
415,2.0,35.0,45.0,0.5,75.0,0.04758715694770212
168,2.0,15.0,35.0,0.3,93.2,0.04761415906250472
135,1.0,15.0,30.0,0.3,112.0,0.047623035063346184
412,2.0,35.0,40.0,0.5,84.4,0.04762908431390916
325,1.0,30.0,45.0,0.5,99.4,0.04764322837193802
453,2.0,40.0,10.0,0.3,84.0,0.047656541410833544
352,2.0,30.0,40.0,0.5,82.8,0.04766080869982636
475,2.0,40.0,45.0,0.5,62.6,0.04766442859545348
105,2.0,10.0,30.0,0.3,78.6,0.047680195576200825
294,2.0,25.0,45.0,0.3,88.6,0.047690879988173604
355,2.0,30.0,45.0,0.5,82.4,0.04770106043045714
382,1.0,35.0,40.0,0.5,92.8,0.04771320857107634
285,2.0,25.0,30.0,0.3,87.6,0.047737541949997304
463,2.0,40.0,25.0,0.5,89.4,0.04775917557999486
390,2.0,35.0,5.0,0.3,63.4,0.0477698635309934
460,2.0,40.0,20.0,0.5,88.8,0.0477757899711529
565,1.0,50.0,45.0,0.5,100.0,0.047790448119242955
186,1.0,20.0,15.0,0.3,104.2,0.047795536493261605
276,2.0,25.0,15.0,0.3,74.4,0.047801999809841275
556,1.0,50.0,30.0,0.5,84.0,0.04780232297877466
526,2.0,45.0,30.0,0.5,66.8,0.0478314771006504
349,2.0,30.0,35.0,0.5,79.2,0.0478494860231876
313,1.0,30.0,25.0,0.5,100.6,0.04788660090416666
81,1.0,10.0,40.0,0.3,120.8,0.04788724848379688
466,2.0,40.0,30.0,0.5,68.6,0.04790755715221162
322,1.0,30.0,40.0,0.5,83.8,0.0479121113196015
552,1.0,50.0,25.0,0.3,87.8,0.04792770153532422
379,1.0,35.0,35.0,0.5,84.6,0.047930605088670995
265,1.0,25.0,45.0,0.5,107.8,0.04793135008464254
171,2.0,15.0,40.0,0.3,88.4,0.04795056140671168
126,1.0,15.0,15.0,0.3,115.8,0.04795165099203582
108,2.0,10.0,35.0,0.3,104.2,0.04795507748300824
117,2.0,10.0,50.0,0.3,85.8,0.04799415829281008
