param_id,num_layers,hidden1,hidden2,dropout,epochs_trained,val_error
142,2.0,50.0,40.0,0.5,45.333333333333336,0.43486565216961837
47,2.0,35.0,30.0,0.6999999999999998,63.0,0.43590108419044155
13,1.0,30.0,50.0,0.5,53.333333333333336,0.43789744315048057
61,1.0,40.0,30.0,0.5,54.333333333333336,0.43842474857552177
140,2.0,50.0,35.0,0.6999999999999998,50.666666666666664,0.43847559977115846
28,2.0,30.0,50.0,0.5,52.0,0.43893979950290585
2,1.0,30.0,30.0,0.6999999999999998,91.33333333333333,0.4403164269816544
82,2.0,40.0,40.0,0.5,50.333333333333336,0.44266887102276087
81,2.0,40.0,40.0,0.3,63.333333333333336,0.4430185141455795
117,2.0,45.0,50.0,0.3,40.333333333333336,0.443811874008841
15,2.0,30.0,30.0,0.3,36.666666666666664,0.4439349043079548
100,1.0,45.0,45.0,0.5,39.666666666666664,0.4474242143332958
105,2.0,45.0,30.0,0.3,41.333333333333336,0.4516928771303759
70,1.0,40.0,45.0,0.5,49.666666666666664,0.4525114858729971
80,2.0,40.0,35.0,0.6999999999999998,45.0,0.4525313679542806
83,2.0,40.0,40.0,0.6999999999999998,50.0,0.4529291922226548
89,2.0,40.0,50.0,0.6999999999999998,49.333333333333336,0.4532752604120307
51,2.0,35.0,40.0,0.3,34.666666666666664,0.45536232584466535
115,2.0,45.0,45.0,0.5,45.0,0.45537548595004607
111,2.0,45.0,40.0,0.3,37.0,0.4557350901886821
143,2.0,50.0,40.0,0.6999999999999998,37.333333333333336,0.45606509518499166
109,2.0,45.0,35.0,0.5,41.0,0.45674585633807707
55,2.0,35.0,45.0,0.5,31.333333333333332,0.46038950229477554
20,2.0,30.0,35.0,0.6999999999999998,49.666666666666664,0.4605220342572365
114,2.0,45.0,45.0,0.3,45.666666666666664,0.4606499598465032
146,2.0,50.0,45.0,0.6999999999999998,45.666666666666664,0.4607156523399883
16,2.0,30.0,30.0,0.5,42.0,0.4613601251815756
137,2.0,50.0,30.0,0.6999999999999998,49.0,0.46237183481247884
128,1.0,50.0,40.0,0.6999999999999998,53.0,0.46293621117042166
103,1.0,45.0,50.0,0.5,63.333333333333336,0.46307672932744026
59,2.0,35.0,50.0,0.6999999999999998,38.333333333333336,0.4646584676682121
29,2.0,30.0,50.0,0.6999999999999998,45.0,0.465734187203149
106,2.0,45.0,30.0,0.5,35.0,0.4659101215915548
26,2.0,30.0,45.0,0.6999999999999998,45.333333333333336,0.46647367098679143
50,2.0,35.0,35.0,0.6999999999999998,30.333333333333332,0.46725778519693345
35,1.0,35.0,35.0,0.6999999999999998,64.33333333333333,0.4672661231209834
17,2.0,30.0,30.0,0.6999999999999998,43.333333333333336,0.46947203680045074
125,1.0,50.0,35.0,0.6999999999999998,41.666666666666664,0.46971975059972865
68,1.0,40.0,40.0,0.6999999999999998,53.333333333333336,0.4698316081323557
53,2.0,35.0,40.0,0.6999999999999998,39.666666666666664,0.47366467071697116
62,1.0,40.0,30.0,0.6999999999999998,52.666666666666664,0.4760530448208253
11,1.0,30.0,45.0,0.6999999999999998,55.666666666666664,0.47888362759517294
65,1.0,40.0,35.0,0.6999999999999998,51.333333333333336,0.47987427127858
41,1.0,35.0,45.0,0.6999999999999998,40.666666666666664,0.48154744557622403
32,1.0,35.0,30.0,0.6999999999999998,41.0,0.485844313684437
14,1.0,30.0,50.0,0.6999999999999998,49.333333333333336,0.4869018333653609
145,2.0,50.0,45.0,0.5,38.333333333333336,0.4870735042625003
95,1.0,45.0,35.0,0.6999999999999998,38.333333333333336,0.487682969826791
52,2.0,35.0,40.0,0.5,40.0,0.4885391965508461
77,2.0,40.0,30.0,0.6999999999999998,35.333333333333336,0.4891811058753066
45,2.0,35.0,30.0,0.3,24.0,0.48921722422043484
22,2.0,30.0,40.0,0.5,27.0,0.48926859369708425
21,2.0,30.0,40.0,0.3,30.666666666666668,0.48930805569721586
113,2.0,45.0,40.0,0.6999999999999998,38.0,0.49058422591123313
46,2.0,35.0,30.0,0.5,25.333333333333332,0.4907569564465019
119,2.0,45.0,50.0,0.6999999999999998,40.0,0.491714688224925
104,1.0,45.0,50.0,0.6999999999999998,27.333333333333332,0.4919963837083843
8,1.0,30.0,40.0,0.6999999999999998,52.666666666666664,0.4921686289211114
148,2.0,50.0,50.0,0.5,26.333333333333332,0.49312646583550507
112,2.0,45.0,40.0,0.5,24.333333333333332,0.49429942626092166
149,2.0,50.0,50.0,0.6999999999999998,28.333333333333332,0.4943298792673481
101,1.0,45.0,45.0,0.6999999999999998,31.333333333333332,0.49654727718896335
122,1.0,50.0,30.0,0.6999999999999998,41.666666666666664,0.4968179199430678
131,1.0,50.0,45.0,0.6999999999999998,29.0,0.4980522220333417
38,1.0,35.0,40.0,0.6999999999999998,34.0,0.4983612824645307
98,1.0,45.0,40.0,0.6999999999999998,38.666666666666664,0.5015752135465542
44,1.0,35.0,50.0,0.6999999999999998,38.0,0.5041631375335985
5,1.0,30.0,35.0,0.6999999999999998,47.666666666666664,0.5051291529089212
86,2.0,40.0,45.0,0.6999999999999998,37.333333333333336,0.5054523816539181
107,2.0,45.0,30.0,0.6999999999999998,32.333333333333336,0.5061262222006917
71,1.0,40.0,45.0,0.6999999999999998,29.333333333333332,0.5064981863316562
76,2.0,40.0,30.0,0.5,48.666666666666664,0.5114872173095742
23,2.0,30.0,40.0,0.6999999999999998,23.666666666666668,0.5132281215240558
92,1.0,45.0,30.0,0.6999999999999998,41.666666666666664,0.5140605722036626
110,2.0,45.0,35.0,0.6999999999999998,26.666666666666668,0.5180730345762439
74,1.0,40.0,50.0,0.6999999999999998,47.666666666666664,0.5908512568308247
