,baseline_5yr_layer_1_corr,baseline_5yr_layer_2_corr,baseline_10yr_layer_1_corr,baseline_10yr_layer_2_corr,baseline_15yr_layer_1_corr,baseline_15yr_layer_2_corr,baseline_20yr_layer_1_corr,baseline_20yr_layer_2_corr,baseline_25yr_layer_1_corr,baseline_25yr_layer_2_corr,baseline_30yr_layer_1_corr,baseline_30yr_layer_2_corr
451,0.10865551419842519,0.07626181913895098,0.21813123036491242,0.13797158845939417,0.4425287956510319,0.3789054167848139,0.521512761273088,0.39522634516359856,0.5288053298161266,0.5370940794129624,0.5202033390003982,0.5208478337626983
60,0.04467525840875232,0.2643409568829721,0.747943136219746,0.7109261311202949,0.7626832617146181,0.763166903996004,0.7792986049748852,0.8086926764786833,0.8574635729848324,0.8367469251391284,0.843485674952678,0.8593947005418303
1714,0.38064183360623566,0.32184838233395274,0.8855618751078931,0.8212057276726517,0.7251113619703075,0.8836368187144351,0.8468837351777874,0.8615804820349647,0.8469882351308057,0.9172576585425223,0.8597304790297807,0.8445356486420244
393,-0.059688708377167325,-0.22418768264595293,-0.07788107895949921,0.3164347414906643,-0.03058298464610091,0.5023444403804995,0.3683301071006996,0.4527607937090567,-0.029267381737882365,-0.02354956141227325,0.04907040908673008,0.5792797210419299
529,-0.052324979348327166,-0.0438830468975592,-0.03849237131773468,-0.061965734303264575,0.016257219206965212,0.013058204439404832,0.047145005578471746,0.037309016063174584,0.04555484980031877,0.09812337060186979,0.02986729397229804,0.11432559385628467
1249,-0.0025523437541971673,-0.051118361246346,0.10968881214405019,0.11664040997552631,0.08686986636388824,0.16532037855024087,0.13721977622059572,0.1320762100530291,0.19909202159105774,0.0377249878798311,0.2183802586368299,0.14741386893340874
399,-0.03440958869251849,0.11255230016804746,0.15371408009195825,0.07979813935933663,0.3310115306262487,0.47882141520914173,0.2232137275332038,0.5149228259985094,0.48984345263460155,0.6014822174058952,0.4249456969823983,0.608590250186076
1042,0.1856656590243495,0.033552560281042546,0.1402023166050569,0.32509508245201274,0.2591410817659297,0.491246069984096,0.6757740134070019,0.8140713762213038,0.7739635531622708,0.8196537332641936,0.7986090439791009,0.8409100324430457
884,0.08315477208697945,0.1418238729219677,0.1406444072784104,0.14398690481634788,0.2013482644708219,0.11503410265532764,0.225093993407474,0.26861717752966735,-0.004714158977383654,-0.013990532112923833,0.012501633068628776,-0.006287178052567119
837,0.08790270645449348,0.19628693478270196,0.12247657331513385,-0.027169469769289224,0.18312518327409108,0.21263452206753503,0.5568147772318048,0.5573884447530811,0.542205936596108,0.5788409985782788,0.44209264091905687,0.6131519708690489
373,0.20505482004087433,0.3369087068206632,0.18924995910135844,0.47615975761914303,0.14881029499954024,0.4155143469337404,0.47488992269635344,0.7434054034978209,0.544343662472035,0.5423052030470769,0.6027557702242182,0.6575812507782549
362,0.39729445599669927,0.679010032232485,0.6201477656108958,0.7711644893849047,0.7672852757293867,0.8196989347312506,0.8060129332937208,0.8374123474169464,0.8327949396218152,0.8276592489312764,0.8234514340937722,0.8306880427380188
416,0.24820022717876947,-0.1033740638144593,0.0817650345648035,0.13358335966497026,0.27426043532824107,0.27705567810070425,0.37209765691661195,0.37384568623889736,0.3753177699387751,0.21581471649081416,0.38172115518098826,0.20178816716785936
1587,0.2396303987485418,-0.4607788153730649,0.3394196620985728,-0.35898679041535336,0.6399975713612328,0.7148191876953031,0.8598823730810273,0.8916455619340271,0.8875477435016172,0.9086640220123451,0.9330169633021917,0.9404091514340288
1026,0.16493852700158207,-0.4480846676544868,-0.2548334629013343,0.5362376636328873,0.22849668493236686,0.8330736217225742,0.43257654297233444,0.4315201171190902,0.39919374393862034,0.891592326558848,0.7134644559679164,0.8630272148297735
1741,-0.11938106403404804,-0.14989781144822598,0.673700540141405,0.7193695003153777,0.7812569687730022,0.7685676818739271,0.6820299082815664,0.7718911387353233,0.6596182823549563,0.7445874087591026,0.6513356889586744,0.7490872898269172
1864,0.26169328670273956,0.27258791075509775,0.7712464841363176,0.6738701976985174,0.8289953857293297,0.7934203091782268,0.7530529620626251,0.8731866357623185,0.8382838201941681,0.8526055282569037,0.871532508103261,0.8601752267332787
1753,0.16425067139057908,0.3395297413262985,-0.012031781819396912,0.17003868570218758,-0.07856902130352451,0.16368014889525404,0.519741217970703,0.48957932846999036,0.4477305062754967,0.3877322438701627,0.3059556703265063,0.5582275022359724
297,0.40882912816932854,0.7509776296766465,0.8058878667207726,0.7204353572348906,0.798997360430991,0.7428078316529876,0.859775409556053,0.7968553320302045,0.8549350292166906,0.8489494852335627,0.7773182930753633,0.7459863408786473
1703,0.09351745915225415,0.0637727733514867,0.17689671960865086,0.34861794067044277,0.4270372208723968,0.5202886810786522,0.2957547182193764,0.4642269027796987,0.4689838551672493,0.5021140505877296,0.5490673514665071,0.5422567705649095
488,-0.13310507826394785,-0.01230217341422296,-0.24478892396829663,-0.1564311297504249,0.043090606908759946,0.14800893370872426,0.2693751511132611,-0.11774921777759356,0.4685637981107524,0.4724827424483255,0.5848100443182837,0.5500060591448707
541,-0.019907450013583464,0.19533786456119787,0.43646103919082213,0.35086025866872056,0.5064279102020832,0.431419413093743,0.39756446006694235,0.26773258376944686,0.5016898206584284,0.4946477542228121,0.5357795579364905,0.5554337180956119
63,0.33134185046906506,0.13797106034327355,0.5328533906024089,0.7487662233093699,0.85019621835131,0.6356908007110302,0.8821144964984489,0.3982974326895126,0.8740629993919655,0.8450022805957988,0.8809603149093665,0.8960378706906728
574,0.30979780692809283,0.5077277756681848,0.45859590761238966,0.48769939777236776,0.5897490967038492,0.6609590755531756,0.6766582204522468,0.6922073234494645,0.5261655502553816,0.7039122701969318,0.7037264567275271,0.7324987060123787
292,0.34129281099241,0.4539001364800947,0.4044666295930882,0.6586506554241568,0.6452833514943462,0.6476210826018277,0.7139330727894043,0.7016745613269516,0.734264089794024,0.7230888752524236,0.7326224388680322,0.7438387926060485
