,finetuned_pooled_5yr_layer_1_corr,finetuned_pooled_5yr_layer_2_corr,finetuned_pooled_10yr_layer_1_corr,finetuned_pooled_10yr_layer_2_corr,finetuned_pooled_15yr_layer_1_corr,finetuned_pooled_15yr_layer_2_corr,finetuned_pooled_20yr_layer_1_corr,finetuned_pooled_20yr_layer_2_corr,finetuned_pooled_25yr_layer_1_corr,finetuned_pooled_25yr_layer_2_corr,finetuned_pooled_30yr_layer_1_corr,finetuned_pooled_30yr_layer_2_corr
1042,-0.3080793155537889,0.23861688632396025,0.5233314812589063,0.4155762799696987,0.6941671682632101,0.7357571930181711,0.5498978781857439,0.8351684235620819,0.8048222400516853,0.8270425860543541,0.6690126699085823,0.8475262918362984
884,0.057606053650991994,0.09651452613569039,0.12970474253423162,0.12373040228926073,0.10061622425862778,0.07742938637897719,0.22778422223278946,0.15797044806565824,-0.01420279141074681,0.07251451469467793,0.0015185974055343804,-0.0065845451049282855
837,0.24535156422450347,0.03236990579616396,0.025370897606338226,-0.04743418933586524,0.46089138550998143,0.1429801273984681,0.6684526265340135,0.6942265416677916,0.6155654479586979,0.544812841734723,0.6806533104408324,0.641847270814724
373,0.28816833642792267,-0.2028071281488544,0.317892967918041,-0.04135732493850595,0.3406055266571697,0.084685784856128,0.6490679530631733,0.734440588666046,0.5434957530281195,0.5306798199027458,0.6035020519978538,0.6147485876597992
362,0.6303648258450447,0.6225351807247853,0.7868092785269521,0.7527933222427785,0.8271327094626788,0.8323778125837069,0.8557532656476409,0.8447115132319352,0.8474153957291727,0.8470892662685992,0.8386689323239424,0.8409595704538805
416,0.2516843925584362,0.2904167950342983,0.058474918400611635,0.028617692325735553,0.36305462615446576,0.3564288970674594,0.39912899344864783,0.4424741637094323,0.3733494428514435,0.44551474020935533,0.43283833628643553,0.4680628685503109
1587,0.5553332811673105,0.5663835252917228,0.674090281642955,0.8096677149456607,0.8313431047890053,0.8948014336782636,0.8170005712864001,0.9003576173490266,0.9220564061887134,0.8797774052969116,0.9292491293869558,0.9416673762821016
1026,0.42813111736283377,-0.25565358812868855,0.5098136955968493,0.6671275779401852,0.7248454709466212,0.5583882012233649,0.6812391957756323,0.8172476629600096,0.8369128045301539,0.647774558747081,0.8116148699533108,0.7906711745374192
1741,0.45419923290734393,0.2418004382226355,0.7371230562241864,0.6874521260780998,0.7373140274023829,0.7239203638026448,0.7668156709107823,0.7645897874404682,0.7424531009597407,0.7777708757623208,0.7136511235789509,0.7673997728206929
1864,0.36771153222656444,0.6850116148054282,0.6279520658873873,0.742928472329974,0.7950812571176424,0.8191248637474192,0.8542769763959267,0.8637832515992523,0.8443103295556122,0.8807408772720359,0.8754600666756892,0.9385458302592666
1753,0.3134049472338123,0.48499919150305215,0.5119360559987609,0.40130318278494004,0.05377627801082088,0.1377805918390204,0.6158162088745752,0.674945520564472,0.498655087918682,0.617245223550867,0.17978839711618685,0.4508387188304971
